Date,Open,High,Low,Close,Adj Close,Volume
2017-09-14,514.950012,527.000000,514.049988,524.250000,519.181091,984904
2017-09-15,520.000000,526.950012,514.500000,523.799988,518.735413,433677
2017-09-18,524.000000,526.799988,511.500000,521.000000,519.433350,382435
2017-09-19,525.000000,529.700012,513.500000,516.599976,515.046509,366066
2017-09-20,519.700012,519.700012,504.799988,506.450012,504.927094,496925
2017-09-21,509.000000,524.700012,506.000000,519.549988,517.987671,677507
2017-09-22,518.000000,528.700012,508.000000,513.299988,511.756470,732687
2017-09-25,514.000000,514.650024,501.899994,505.899994,504.378723,408869
2017-09-26,505.000000,515.000000,504.549988,507.450012,505.924072,865802
2017-09-27,505.049988,505.049988,490.000000,494.950012,493.461670,488175
2017-09-28,496.899994,506.549988,493.299988,500.899994,499.393768,962689
2017-09-29,504.000000,506.000000,499.000000,503.200012,501.686859,359422
2017-10-03,510.000000,510.000000,500.200012,502.799988,501.288055,546767
2017-10-04,500.500000,521.750000,500.500000,517.799988,516.242920,436877
2017-10-05,520.000000,525.000000,512.299988,514.000000,512.454346,228910
2017-10-06,518.000000,532.799988,516.000000,530.400024,528.805054,493275
2017-10-09,526.700012,537.000000,522.000000,529.950012,528.356445,345592
2017-10-10,531.099976,534.900024,526.500000,527.299988,525.714355,177463
2017-10-11,528.000000,533.000000,521.250000,525.799988,524.218872,253587
2017-10-12,544.200012,548.000000,532.400024,539.400024,537.778015,571786
2017-10-13,541.000000,543.000000,532.799988,534.700012,533.092163,200716
2017-10-16,537.000000,549.900024,534.299988,548.150024,546.501709,354721
2017-10-17,548.000000,554.000000,544.500000,547.200012,545.554565,269182
2017-10-18,550.000000,550.000000,539.049988,540.349976,538.725098,164676
2017-10-19,541.000000,543.650024,532.000000,535.599976,533.989380,62070
2017-10-23,536.900024,543.150024,534.049988,540.250000,538.625427,129254
2017-10-24,541.000000,541.000000,533.700012,534.450012,532.842896,103300
2017-10-25,536.000000,539.000000,522.000000,523.250000,521.676575,488335
2017-10-26,529.500000,538.750000,519.500000,530.950012,529.353394,315116
2017-10-27,532.000000,557.900024,532.000000,550.349976,548.695068,858372
2017-10-30,552.000000,557.200012,544.200012,553.150024,551.486694,369037
2017-10-31,552.000000,558.750000,546.299988,553.400024,551.735901,240630
2017-11-01,554.000000,555.599976,546.500000,548.450012,546.800781,279094
2017-11-02,549.000000,572.400024,548.400024,563.200012,561.506409,609097
2017-11-03,565.000000,567.599976,551.150024,552.200012,550.539490,294316
2017-11-06,553.000000,556.299988,539.400024,541.400024,539.772034,1202694
2017-11-07,545.000000,550.000000,513.549988,527.849976,526.262695,1825009
2017-11-08,531.250000,545.000000,531.250000,537.799988,536.182800,316559
2017-11-09,549.000000,553.000000,527.500000,534.900024,533.291565,277857
2017-11-10,530.049988,534.200012,524.000000,527.299988,525.714355,192816
2017-11-13,525.000000,541.099976,519.299988,532.500000,530.898743,553391
2017-11-14,532.000000,537.500000,517.500000,526.150024,524.567871,563958
2017-11-15,520.500000,520.500000,501.100006,505.049988,503.531281,1032474
2017-11-16,501.000000,510.750000,498.600006,508.649994,507.120453,429679
2017-11-17,510.000000,521.900024,510.000000,517.049988,515.495178,366214
2017-11-20,517.049988,521.849976,514.500000,516.450012,514.897034,199557
2017-11-21,517.000000,541.450012,515.049988,538.049988,536.432068,651410
2017-11-22,541.950012,544.799988,530.500000,535.200012,533.590637,350125
2017-11-23,530.000000,548.150024,530.000000,544.750000,543.111877,286622
2017-11-24,544.500000,550.250000,542.000000,548.549988,546.900452,202925
2017-11-27,545.049988,553.450012,538.299988,550.250000,548.595398,647065
2017-11-28,549.099976,556.000000,541.750000,543.700012,542.065063,184819
2017-11-29,543.000000,549.700012,541.650024,547.900024,546.252441,377275
2017-11-30,546.000000,554.799988,538.000000,539.950012,538.326355,665926
2017-12-01,542.049988,545.549988,522.500000,525.950012,524.368469,286786
2017-12-04,530.000000,533.000000,517.000000,520.950012,519.383484,217533
2017-12-05,520.250000,527.500000,518.000000,523.650024,522.075378,328592
2017-12-06,525.000000,526.000000,510.000000,512.000000,510.460388,358000
2017-12-07,512.500000,515.500000,506.500000,510.200012,508.665802,321744
2017-12-08,511.299988,523.700012,511.149994,521.500000,519.931824,228017
2017-12-11,522.500000,529.950012,522.000000,528.500000,526.910767,229927
2017-12-12,531.000000,533.700012,519.500000,520.799988,519.233887,189291
2017-12-13,521.000000,526.099976,515.799988,516.799988,515.245972,193203
2017-12-14,516.000000,519.900024,510.000000,514.299988,512.753479,239773
2017-12-15,515.549988,524.000000,515.549988,518.200012,516.641785,121379
2017-12-18,519.000000,533.500000,500.350006,528.849976,527.259705,437971
2017-12-19,531.000000,535.200012,525.799988,528.049988,526.462097,176433
2017-12-20,528.000000,532.700012,525.500000,527.150024,525.564880,150702
2017-12-21,532.500000,538.400024,527.049988,528.599976,527.010437,285025
2017-12-22,530.000000,533.750000,526.599976,530.500000,528.904785,194688
2017-12-26,532.000000,542.799988,529.200012,540.450012,538.824829,267467
2017-12-27,545.000000,590.000000,543.150024,577.700012,575.962830,1576727
2017-12-28,582.849976,585.650024,566.250000,567.900024,566.192322,628035
2017-12-29,574.950012,579.000000,569.000000,570.799988,569.083557,591287
2018-01-01,573.900024,585.000000,571.450012,573.599976,571.875122,459851
2018-01-02,575.200012,582.049988,567.250000,571.500000,569.781494,249159
2018-01-03,572.150024,578.000000,567.299988,569.250000,567.538208,218741
2018-01-04,570.000000,584.000000,560.799988,581.000000,579.252930,469812
2018-01-05,586.000000,587.500000,575.750000,578.750000,577.009644,1014355
2018-01-08,586.900024,604.500000,586.900024,591.950012,590.169983,3048406
2018-01-09,598.900024,599.900024,584.099976,586.849976,585.085266,368184
2018-01-10,590.150024,594.250000,582.000000,585.650024,583.888916,337202
2018-01-11,586.150024,598.750000,581.000000,588.400024,586.630676,572538
2018-01-12,588.500000,591.750000,580.000000,584.250000,582.493103,336307
2018-01-15,585.099976,586.200012,575.200012,576.400024,574.666748,259616
2018-01-16,576.799988,583.950012,572.150024,578.099976,576.361572,474832
2018-01-17,582.599976,585.650024,577.000000,583.349976,581.595825,564718
2018-01-18,583.049988,589.000000,574.049988,576.250000,574.517212,350446
2018-01-19,577.099976,579.950012,568.500000,572.000000,570.279968,331179
2018-01-22,572.000000,578.750000,568.400024,576.299988,574.567017,323500
2018-01-23,576.299988,585.400024,575.650024,578.099976,576.361572,892658
2018-01-24,576.000000,596.299988,575.250000,586.099976,584.337524,1048910
2018-01-25,586.250000,595.750000,578.250000,580.700012,578.953796,284053
2018-01-29,582.000000,593.000000,579.000000,587.049988,585.284668,412841
2018-01-30,585.049988,594.599976,580.900024,591.299988,589.521912,729454
2018-01-31,591.299988,594.700012,576.099976,579.349976,577.607849,320321
2018-02-01,580.000000,580.099976,550.000000,556.250000,554.577332,1419211
2018-02-02,553.400024,566.700012,545.099976,551.150024,549.492676,1184824
2018-02-05,543.000000,559.900024,534.099976,557.099976,555.424744,552110
2018-02-06,535.000000,555.000000,531.000000,551.900024,550.240417,1261061
2018-02-07,555.000000,558.000000,543.000000,548.700012,547.050049,1012049
2018-02-08,537.700012,585.000000,535.000000,583.400024,581.645691,903317
2018-02-09,570.000000,585.900024,570.000000,582.650024,580.897949,348254
2018-02-12,586.000000,608.549988,585.000000,589.349976,587.577759,1247550
2018-02-14,592.049988,593.900024,570.000000,574.450012,572.722595,728134
2018-02-15,565.000000,584.849976,564.500000,577.250000,575.514160,1051500
2018-02-16,575.700012,577.000000,564.150024,575.200012,573.470337,650191
